iter	Passed	Remaining
903	13114	1392
904	13128	1378
905	13143	1363
906	13156	1349
907	13169	1334
908	13185	1320
909	13200	1305
910	13214	1291
911	13227	1276
912	13240	1261
913	13255	1247
914	13270	1232
915	13283	1218
916	13298	1203
917	13312	1189
918	13327	1174
919	13340	1160
920	13352	1145
921	13366	1130
922	13379	1116
923	13393	1101
924	13405	1086
925	13419	1072
926	13433	1057
927	13449	1043
928	13466	1029
929	13478	1014
930	13491	999
931	13504	985
932	13521	971
933	13533	956
934	13545	941
935	13558	927
936	13572	912
937	13587	898
938	13605	883
939	13620	869
940	13636	855
941	13652	840
942	13665	826
943	13677	811
944	13692	796
945	13706	782
946	13721	767
947	13734	753
948	13747	738
949	13761	724
950	13774	709
951	13786	695
952	13801	680
953	13816	666
954	13829	651
955	13844	637
956	13858	622
957	13872	608
958	13886	593
959	13901	579
960	13914	564
961	13926	550
962	13940	535
963	13952	521
964	13966	506
965	13983	492
966	13996	477
967	14008	463
968	14024	448
969	14040	434
970	14053	419
971	14068	405
972	14081	390
973	14096	376
974	14111	361
975	14126	347
976	14143	332
977	14156	318
978	14172	304
979	14186	289
980	14201	275
981	14214	260
982	14231	246
983	14248	231
984	14262	217
985	14277	202
986	14289	188
987	14303	173
988	14316	159
989	14330	144
990	14344	130
991	14359	115
992	14374	101
993	14387	86
994	14402	72
995	14418	57
996	14434	43
997	14449	28
998	14462	14
999	14478	0
